achitecture,best_epoch,best_val,best_train,training_loss,validation_loss
"(512, 64, 128, 128, 64)",9,4.472100019454956,2.9017838121681083,"[1648.0526427354694, 34.363042461451684, 5.692018782590708, 4.529399468765867, 3.999967716659702, 3.5937662178881475, 3.343540624275685, 3.0901850707430616, 2.9017838121681083, 2.6522817409621706, 2.64546375619131, 2.4362766688458612, 2.358401373113517, 2.236793033770191, 2.1543032958917108, 2.0758969650876127, 1.9660924743602435, 1.9506182044032492, 1.8765409101262707, 1.8030837565423143]","[178.65828191017619, 10.171217616723508, 6.500208280524429, 5.356818106709694, 6.436421720349059, 14.03620381257972, 17.16802691440193, 5.614568325938011, 4.472100019454956, 18.544264228976502, 12.438273420139234, 9.616188097973259, 5.027104046879982, 5.212654614935116, 13.298583741090736, 4.744464713699964, 6.622527497155326, 12.761832217780912, 4.499731791262724, 5.350628127857131]"
"(512, 128, 32, 32, 32)",19,3.653064542887162,2.436266984684611,"[2150.2420963291693, 222.6438915027015, 9.14490145953442, 5.594312428071908, 4.9543580786495625, 4.384569796279022, 4.039804053659189, 3.7669535586451506, 3.596718201729489, 3.3469323751191364, 3.2499779694723188, 3.1551980684777305, 2.999297326742179, 2.9023688641017613, 2.797625432377925, 2.687610994833728, 2.6274315125570635, 2.489666916404568, 2.436266984684611, 2.358135119775592]","[782.9603433414381, 19.101783791366888, 6.8007036666480865, 6.55706830413974, 9.171914266080272, 5.826931082472509, 6.239095683000525, 4.2001553846865285, 8.383205399221303, 3.8290241007902184, 6.345130190557363, 13.219712597983223, 4.569850945959286, 6.196036139313056, 5.6233009659514135, 4.7090029254251595, 4.594236271721976, 9.254260831949662, 3.653064542887162, 11.096837462211141]"
"(512, 128, 32, 32, 64)",12,3.4884713109658687,2.985028724350349,"[1642.9992984602475, 33.314840764858346, 6.532877001474877, 5.244996140841331, 4.703219148757379, 4.28180743972596, 3.8769300534592284, 3.68494393204395, 3.3682845220630893, 3.2524969024462913, 3.0205612498609957, 2.985028724350349, 2.8170137909898987, 2.695828862157698, 2.549169765940027, 2.5208476845586123, 2.4133752626499354, 2.3525373146395636, 2.2672849520617104, 2.1853555685017296]","[171.05369676862443, 11.022877459623375, 16.954998931106257, 8.428813447757642, 3.554923870125595, 6.151042626828564, 10.092996246960698, 3.9977975670172246, 4.003800793569916, 6.645839384623936, 4.063534094362843, 3.4884713109658687, 14.661302605453802, 3.984309558965722, 6.767738254702821, 9.057389843220614, 8.979446508446518, 14.030300626949389, 3.854800985783947, 8.46848481528613]"
"(512, 128, 32, 32, 128)",15,3.0147484054370803,2.610641200387844,"[1193.7750564201972, 9.447649860273584, 6.248649023498691, 5.3701236877289515, 4.81253601395365, 4.315898047643581, 3.923398505027519, 3.7968109405352664, 3.5396559734800164, 3.285701547737686, 3.141123694364528, 2.97761661038057, 2.887399720386162, 2.7311119193781224, 2.610641200387844, 2.4994859915137697, 2.433706506120467, 2.4030288529748667, 2.244219640551709, 2.211449359464157]","[20.870740150918767, 11.27545249705412, 8.005120214150876, 10.902683043966489, 10.107032649371089, 13.395591044912534, 8.257037892633555, 7.814321522810022, 6.474788923652804, 7.142769954642471, 5.130898154511744, 5.4734580224874065, 17.75330856868199, 3.4697842792588838, 3.0147484054370803, 8.927768678081279, 7.595264016365518, 7.79216633037645, 13.404622058479154, 17.82132763765296]"
"(512, 128, 32, 64, 32)",13,3.6893841490453605,2.8492869412668465,"[2152.3519266278263, 229.45175324310893, 9.290309642362107, 5.634847129164295, 4.8693568766184905, 4.3654281282045195, 4.024385068196892, 3.782342041718675, 3.386485091384089, 3.3049504335151734, 3.071097700126613, 3.029143559919147, 2.8492869412668465, 2.690833170937461, 2.578197051233806, 2.4861666822596216, 2.4027959719995318, 2.3833133238574344, 2.2501608610695674, 2.1970745550216395]","[770.1265015894053, 22.991612706865585, 6.975931989903352, 13.13429592093643, 9.557002018909065, 4.9307757932312635, 10.64644851489943, 4.938574333580172, 7.126816477094378, 9.66047647048016, 8.06444400670577, 4.261934110096523, 3.6893841490453605, 5.817793904518594, 6.367166952211029, 7.56013315551135, 7.026482674540306, 6.267473804707429, 4.494869198117938, 5.74476399713633]"
"(512, 128, 32, 64, 64)",19,3.3834696278280143,2.2348611160892404,"[1646.9639598338676, 35.04837725024174, 6.634853344592896, 5.496032883011576, 4.904451603233069, 4.234445435195246, 3.9374489488590836, 3.6230130588913396, 3.3861924801805863, 3.152635881247103, 2.940197966747045, 2.7960855521439694, 2.724100519230206, 2.6200993706613134, 2.503620189340177, 2.422221845869861, 2.3329554160164756, 2.2357519779595907, 2.2348611160892404, 2.095449266715804]","[179.13094516676298, 8.514566723181277, 8.801493148414457, 13.916406972067696, 14.574977232485402, 6.5776450488032125, 4.2214899160424055, 6.348436739979958, 7.83048364580894, 6.221629483359201, 7.978206999447881, 3.883236371741003, 8.92029636733386, 5.878193782300365, 18.919508116585867, 5.557135051610518, 11.499494182820223, 7.51774803473025, 3.3834696278280143, 4.5358359667719625]"
"(512, 128, 32, 64, 128)",18,2.426218237195696,2.2079842649357855,"[1191.410463005474, 9.45506298826823, 6.20860072587266, 5.108237511468829, 4.395487907667887, 4.074512656095763, 3.695441738059225, 3.376218901288116, 3.206450141466247, 3.0590932419411287, 2.881751437507256, 2.7238281654687735, 2.712649880822608, 2.581051097795011, 2.4090315580910517, 2.2579376858927147, 2.2367235240404653, 2.2079842649357855, 2.0530843245155848, 2.01801764856562]","[20.11639102624387, 8.803743099679751, 10.157089379368996, 10.008558409554619, 4.043397969129134, 11.294014541470276, 10.89533974199879, 7.415698022258525, 10.054310448315679, 4.239665257687471, 4.73629181482354, 12.07512024470738, 4.265034108745809, 11.603605455281784, 8.371820269798746, 4.397509066426024, 3.530056486324388, 2.426218237195696, 5.432015774201374, 8.907781907490321]"
"(512, 128, 32, 128, 32)",16,2.838095229499194,2.357053110623929,"[2149.9653641111613, 222.4501157181255, 9.339318140374923, 5.7137066604605575, 4.931113530344524, 4.368853963953915, 3.9127078010224916, 3.6238354025440414, 3.4247426143142823, 3.152811376172392, 2.90941769027059, 2.7917683029608784, 2.645619468748637, 2.5775327875074403, 2.414622245659465, 2.357053110623929, 2.275359157138039, 2.184248494342461, 2.08848215898963, 2.077564688808411]","[773.7362807916135, 20.47502225759078, 6.3836130122749175, 11.570716711939598, 17.069025643017827, 3.982863032087988, 5.536547096408143, 3.4347034400823167, 12.053913885233353, 8.22843117130046, 5.931551991676797, 5.6072530989744225, 3.34001049460197, 5.624390962172527, 10.606261788582316, 2.838095229499194, 5.3145032950810025, 6.5604922966081265, 8.14660307825828, 4.344889431583638]"
"(512, 128, 32, 128, 64)",11,2.911102596594363,2.842080071653251,"[1648.8143956311326, 36.66196515156005, 6.523785882435561, 5.228393411202371, 4.561495632577404, 4.122098995421391, 3.748950540816011, 3.3935839883025323, 3.2585177448693665, 3.012451897844655, 2.842080071653251, 2.74880642953315, 2.6053711418676975, 2.514057177732422, 2.4020012150581107, 2.2981195982812617, 2.2394941425431982, 2.1342265162451683, 2.0609955930058868, 2.0549581254301623]","[177.86599902717435, 21.665538048257634, 6.093213285718646, 8.341514173819094, 5.0352574075971335, 5.504976671569201, 5.485245524620523, 6.10295278198865, 8.21098856050141, 6.973243022451595, 2.911102596594363, 3.341154453705768, 10.437815354794871, 4.577849796840122, 4.759334369581573, 9.092780570594632, 3.2350541718152104, 5.004104322316695, 3.078822744135954, 4.176930631910052]"
"(512, 128, 64, 32, 32)",17,2.6568230195921294,2.3454978402292905,"[2138.4482740591, 219.31823337064532, 9.233903968971608, 5.378295305239056, 4.656412982832179, 4.149223550594708, 3.7366630309542157, 3.5269082281505426, 3.277437564862873, 3.080006709684691, 2.947024687836466, 2.8252144658660456, 2.7109105966739415, 2.5744869028206434, 2.505277621325644, 2.388054082689296, 2.3454978402292905, 2.284110011365498, 2.145066596406583, 2.121461575077391]","[779.3960726990991, 28.158456101709483, 8.94078407482225, 13.355541745010687, 7.828672345803708, 6.411775394361847, 5.011422614662015, 26.799797019179987, 7.0755113825506095, 5.84999882931612, 5.524702967429648, 7.04148546530276, 22.743130197330398, 5.793460943260971, 8.795841280294924, 3.754659336440417, 2.6568230195921294, 3.376465323020001, 10.870468558097372, 8.768726976550354]"
