Strategy,Popsize,MSE Overall Avg,MSE Overall Std,Elapsed Time Avg,Elapsed Time Std
best2bin,49,3.305935951587181,73.71148864079996,497.4046718754768,236.2958596783323
best2exp,49,2.0390686782283045,45.88780391897566,496.20559712266925,306.0594659848239
randtobest1bin,49,3.535246056606421,78.33247148371831,498.12074792098997,361.4517658741814
randtobest1exp,49,0.04000981116780574,1.2403702892525783,504.20744841384885,307.5899350035721
currenttobest1bin,49,1.8109469888560565,48.01834295472953,495.0404452803135,170.41944968660997
currenttobest1exp,49,2.2203944695057434,63.55656294121817,498.7021454246044,131.68143075545007
best1bin,56,2.2488166673203964,45.09105925994743,552.2567645971775,506.4913792233271
best1exp,56,3.6685230676334633,65.34510469826506,557.9627895963192,535.9212201328182
rand1exp,56,0.8343973437944556,5.282134715785541,554.4908874044419,505.25579709494474
rand1exp,56,0.8343973437944556,5.282134715785541,556.3214914054871,617.7302022996271
